trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-158.41353750995026,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-61.52347835338372,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-142.95826158856218,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-137.86347437677233,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-77.924690453281,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-77.85708807424012,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-160.1988611792976,"{0: 25, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-233.7751569561638,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-162.7766707695285,"{0: 21, 1: 3, 2: 1, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-39.46572883866106,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,16,-100.42063915378131,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-202.8742343767676,"{0: 17, 1: 1, 2: 6, 3: 4, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,6,-56.49881433922639,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,13,6.378867415741059,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-50.53161618906097,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,3.588675130552737,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,14,-65.37513007622903,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,1,-33.831594216146215,"{0: 29, 1: 0, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,-23.56843461788192,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,19,18.825443064990008,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-117.03145015122051,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,14,14.620900246552182,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,4.395312720652859,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,6.323064258524154,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,15,9.089342976467394,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,10,-110.87730314947241,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 3}",1
7,True,"{'a': 0, 'e': 0}",30,0,-70.29690159639672,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,18,10.863935571605866,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,-11.921897325172953,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,15.03278277095304,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
