trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7989431316169325, 'e': 0.9990518033556463}",25,0,-92.83139654562409,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.7979277036359073, 'e': 0.9990131449044791}",30,0,-159.6008586521293,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.7969520911555183, 'e': 0.9989729119492885}",20,0,-91.88164853622759,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.7960147329876556, 'e': 0.998931040497558}",20,0,-42.75069274165655,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.7951141291592698, 'e': 0.9988874639671397}",25,0,-104.43843463783534,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
6,False,"{'a': 0.7942488385120966, 'e': 0.9988421130823903}",30,0,-80.71275121177705,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.7934174763964953, 'e': 0.998794915766221}",25,11,-55.72878622885546,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.7926187124557142, 'e': 0.9987457970279031}",20,0,-71.7957170530287,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.7918512684970361, 'e': 0.9986946788464732}",35,0,-107.76683992853255,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.791113916446397, 'e': 0.9986414800495711}",30,2,-176.6280517787273,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 2}",1
11,False,"{'a': 0.7904054763832055, 'e': 0.9985861161875393}",30,0,-87.99613032709033,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.7897248146522187, 'e': 0.9985284994026105}",20,0,-134.04266939682478,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.7890708420494514, 'e': 0.9984685382929968}",20,0,-100.24234388243282,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
14,False,"{'a': 0.7884425120792178, 'e': 0.998406137771697}",30,0,-246.73301232332923,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
15,False,"{'a': 0.7878388192795144, 'e': 0.9983411989198255}",30,0,-157.50895567307523,"{0: 23, 1: 0, 2: 2, 3: 2, 4: 3}",0
16,False,"{'a': 0.787258797613067, 'e': 0.9982736188342628}",25,0,-153.28641658648644,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.7867015189214649, 'e': 0.9982032904694216}",30,0,-71.0430888168528,"{0: 22, 1: 3, 2: 2, 3: 3, 4: 0}",0
18,False,"{'a': 0.7861660914399089, 'e': 0.998130102472916}",25,0,-133.79036813581936,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.785651658370198, 'e': 0.9980539390149145}",20,0,-11.072090479132875,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.7851573965096691, 'e': 0.9979746796109501}",20,0,-127.16227313199826,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.7846825149338971, 'e': 0.9978921989379568}",25,0,-95.6176452905872,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.7842262537310474, 'e': 0.9978063666432913}",20,0,-120.20599924841152,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.7837878827858544, 'e': 0.9977170471464969}",25,0,-198.19936583178398,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
24,False,"{'a': 0.7833667006112818, 'e': 0.997624099433555}",20,0,-135.82778690259164,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.7829620332259932, 'e': 0.9975273768433652}",30,0,-165.1629289099096,"{0: 19, 1: 5, 2: 2, 3: 1, 4: 3}",0
26,False,"{'a': 0.7825732330758386, 'e': 0.9974267268461896}",20,0,-86.31438393812931,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
27,False,"{'a': 0.7821996779976291, 'e': 0.9973219908137869}",20,0,-102.3619735484887,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.7818407702235438, 'e': 0.9972130037809577}",25,0,-193.82387762239267,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
29,False,"{'a': 0.781495935424573, 'e': 0.9970995941982158}",25,0,-199.3283453427026,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
30,False,"{'a': 0.7811646217914695, 'e': 0.9969815836752915}",30,0,-65.32708227249387,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
31,False,"{'a': 0.7808462991517365, 'e': 0.9968587867151706}",30,0,-87.82770065573928,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.7805404581212381, 'e': 0.9967310104383614}",25,0,-89.1421775350395,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
33,False,"{'a': 0.7802466092890756, 'e': 0.9965980542970827}",20,0,-127.00632555299396,"{0: 8, 1: 3, 2: 6, 3: 3, 4: 0}",0
34,False,"{'a': 0.7799642824344267, 'e': 0.9964597097790535}",20,0,-131.80620199699675,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.7796930257740909, 'e': 0.996315760100564}",30,3,-71.26325145968362,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 1}",1
36,False,"{'a': 0.7794324052395406, 'e': 0.9961659798885025}",20,0,-212.0568371811262,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
37,False,"{'a': 0.7791820037823184, 'e': 0.9960101348510059}",30,0,-164.28945071303662,"{0: 18, 1: 0, 2: 10, 3: 0, 4: 2}",0
38,False,"{'a': 0.7789414207066709, 'e': 0.9958479814363994}",20,0,-99.77309545242576,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
39,False,"{'a': 0.7787102710283501, 'e': 0.9956792664800881}",25,0,-128.25724685884379,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
40,False,"{'a': 0.778488184858556, 'e': 0.9955037268390589}",20,0,-111.3253203802913,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.778274806812036, 'e': 0.9953210890136492}",25,0,-127.17492428672531,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
42,False,"{'a': 0.7780697954383926, 'e': 0.9951310687562414}",25,0,-72.65404937790603,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.7778728226756899, 'e': 0.9949333706665338}",20,0,-109.7195186445894,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.7776835733254845, 'e': 0.9947276877730513}",25,0,-201.46986790233697,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
45,False,"{'a': 0.7775017445484408, 'e': 0.9945137011005496}",20,15,11.655118413284226,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7773270453797232, 'e': 0.9942910792229767}",20,9,-70.33839500712507,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
47,False,"{'a': 0.7771591962633906, 'e': 0.9940594778016596}",20,0,-155.8706749245399,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
48,False,"{'a': 0.7769979286050472, 'e': 0.9938185391083889}",20,0,-53.759024683041744,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.7768429843420341, 'e': 0.9935678915330813}",30,0,-132.29429499121954,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
50,False,"{'a': 0.7766941155304738, 'e': 0.9933071490757152}",30,0,-127.14172778314182,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
51,False,"{'a': 0.7765510839485076, 'e': 0.993035910822238}",20,0,-59.45806710733119,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.7764136607150891, 'e': 0.9927537604041685}",20,0,-98.17005989701295,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
53,False,"{'a': 0.7762816259237265, 'e': 0.9924602654416266}",30,5,-88.86777973962938,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",1
54,False,"{'a': 0.7761547682905846, 'e': 0.9921549769695444}",20,7,-81.8144554018607,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 2}",1
55,False,"{'a': 0.776032884816386, 'e': 0.9918374288468401}",20,0,-22.655530958082196,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.7759157804615688, 'e': 0.9915071371483557}",20,0,-160.0327752617339,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
57,False,"{'a': 0.7758032678341817, 'e': 0.9911635995393923}",20,0,-61.295083793023046,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.7756951668900169, 'e': 0.9908062946327119}",20,12,-46.53497316515776,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 1}",1
