trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-118.0457906903119,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-115.5591369412787,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-145.21452384784376,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-111.04974496503614,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-119.48585598045368,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-120.9923576245807,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,5,-192.1176976138747,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-125.52659836159982,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-147.70160212692997,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-153.5297522882916,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-50.76469624716247,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-80.27196313594314,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-52.6326316675568,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-104.74080877701648,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-58.09389716066858,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-97.38401097729219,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-141.1009601095421,"{0: 7, 1: 2, 2: 10, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-19.338800581635933,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-59.08949720216445,"{0: 27, 1: 5, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-117.46648730875432,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-33.82496990264799,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-164.23393188927466,"{0: 7, 1: 2, 2: 8, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-117.3497203789788,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-95.07544820987165,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-118.85864774408724,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-238.7313378678013,"{0: 11, 1: 1, 2: 9, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,0,-54.50939354612756,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,2,-112.38501179606513,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,0,-144.0988708245406,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-166.62594461450573,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
